Internal Name, Readable Name,String
npc_dota_hero_crystal_maiden,Crystal Maiden,<hc>Crystal Maiden</hc>'s <ac>Arcane Aura</ac> provides increased mana regeneration for her allies globally.
npc_dota_hero_crystal_maiden,Crystal Maiden,<hc>Crystal Maiden</hc>'s <ac>Frostbite</ac> applies a root which can be very effective against mobile heroes.
npc_dota_hero_crystal_maiden,Crystal Maiden,<hc>Crystal Maiden</hc> relies on mobility items to compensate for her slow movement speed and lower health points.
npc_dota_hero_crystal_maiden,Crystal Maiden,<hc>Crystal Maiden</hc> is often drafted with heroes who struggle with mana regeneration on their own.
npc_dota_hero_drow_ranger,Drow Ranger,<hc>Drow Ranger</hc>'s <ac>Precision Aura</ac> provides all ranged allied heroes with bonus damage and to ranged creeps when activated. 
npc_dota_hero_drow_ranger,Drow Ranger,<hc>Drow Ranger</hc>'s relies on <ac>Gust</ac> to silence and push enemies away from her. 
npc_dota_hero_drow_ranger,Drow Ranger,<hc>Drow Ranger</hc>'s long range and high damage allow her to siege towers from relative safety.
npc_dota_hero_drow_ranger,Drow Ranger,<hc>Drow Ranger</hc> struggles against heroes that are very mobile and can get close to her.
npc_dota_hero_earthshaker,Earthshaker,<hc>Earthshaker</hc> has many ways to stun nearby heroes which can be used in succession to keep enemies locked down.
npc_dota_hero_earthshaker,Earthshaker,"<hc>Earthshaker</hc>'s <ac>Fissure</ac> creates a temporary wall to block escape paths, or allow for easy retreats."
npc_dota_hero_earthshaker,Earthshaker,<hc>Earthshaker</hc>'s <ac>Fissure</ac> is useful for stunning and damaging enemies in a line from long distance.
npc_dota_hero_earthshaker,Earthshaker,<hc>Earthshaker</hc> can heavily punish grouped enemies with a <ic>Blink Dagger</ic> and well timed <ac>Echo Slam</ac>.
npc_dota_hero_juggernaut,Juggernaut,<hc>Juggernaut</hc> can use <ac>Blade Fury</ac> to deal damage while also protecting himself from spells.
npc_dota_hero_juggernaut,Juggernaut,<hc>Juggernaut</hc> is often picked for his <ac>Healing Ward</ac> which helps his team push and remain at full health.
npc_dota_hero_juggernaut,Juggernaut,<hc>Juggernaut</hc>'s <ac>Omnislash</ac> is best used on enemies that are alone or in small numbers.
npc_dota_hero_juggernaut,Juggernaut,<hc>Juggernaut</hc> can use <ac>Blade Fury</ac> and a <ic>Town Portal Scroll</ic> to quickly escape a bad situation.
npc_dota_hero_mirana,Mirana,<hc>Mirana</hc> has strong teamfight impact due to high burst damage and the ability to take setup fights with the invisibilty from <ac>Moonlight Shadow</ac>.
npc_dota_hero_mirana,Mirana,<ac>Leap</ac> helps <hc>Mirana</hc> avoid death or get the jump on an enemy and deal crucial damage.
npc_dota_hero_mirana,Mirana,<hc>Mirana</hc>'s signature ability <ac>Sacred Arrow</ac> is a hard to land skill shot. The stun lasts longer the farther it travels.
npc_dota_hero_mirana,Mirana,<hc>Mirana</hc> is great at stunning enemies for a long duration if she can land her long range <ac>Sacred Arrow</ac> ability.
npc_dota_hero_mirana,Mirana,<hc>Mirana</hc>'s abilities and talents allow her to be focus on building into high attack damage or high spell damage items making her very versatile.
npc_dota_hero_nevermore,Shadow Fiend,<hc>Shadow Fiend</hc>'s <ac>Shadow Raze</ac> adds a stacking damage amplifier on the target that causes the enemy to take bonus Shadow Raze damage per stack.
npc_dota_hero_nevermore,Shadow Fiend,"When <hc>Shadow Fiend</hc> kills or denies a unit he collects their soul, gaining bonus damage through <ac>Necromastery</ac> until he dies."
npc_dota_hero_nevermore,Shadow Fiend,<hc>Shadow Fiend</hc> often purchases a <ic>Black King Bar</ic> to ensure successful channeling of his ultimate <ac>Requiem of Souls</ac>.
npc_dota_hero_nevermore,Shadow Fiend,<hc>Shadow Fiend</hc> deals a lot of damage but is vulnerable to disables and ganks.
npc_dota_hero_morphling,Morphling,<hc>Morphling</hc>'s ability <ac>Waveform</ac> is a powerful tool that helps him escape trouble or engage his target.
npc_dota_hero_morphling,Morphling,"Unlike most heroes, <hc>Morphling</hc> can deal heavy magical damage with his skills while also dealing heavy physical damage with his attacks."
npc_dota_hero_morphling,Morphling,"<hc>Morphling</hc> is generally hard to kill, but can be brought down with ease if he can be silenced or stunned before using <ac>Attribute Shift</ac>."
npc_dota_hero_morphling,Morphling,"<hc>Morphling</hc>'s ultimate <ac>Morph</ac> changes his form to match the targeted enemy, gaining their basic abilities and expanding his toolkit."
npc_dota_hero_phantom_lancer,Phantom Lancer,"<hc>Phantom Lancer</hc> creates identical looking illusions of himself, which can make fighting him confusing."
npc_dota_hero_phantom_lancer,Phantom Lancer,"Like most illusion based heroes, <hc>Phantom Lancer</hc> benefits heavily from items that give his primary attribute, Agility."
npc_dota_hero_phantom_lancer,Phantom Lancer,The mana burn from <ic>Diffusal Blade</ic> massively benefits <hc>Phantom Lancer</hc> because every hit from his hero and his many illusions will drain an enemy's mana.
npc_dota_hero_phantom_lancer,Phantom Lancer,"Because Illusions take more damage than the primary hero, area of effect damage is vital to finding the real <hc>Phantom Lancer</hc>."
npc_dota_hero_puck,Puck,<hc>Puck</hc> is very difficult to catch and kill especially later in the game with a <ic>Blink Dagger</ic> and <ic>Eul's Scepter</ic>.
npc_dota_hero_puck,Puck,<hc>Puck</hc>'s <ac>Illusory Orb</ac> and <ac>Waning Rift</ac> can often be used to burst multiple nearby enemies.
npc_dota_hero_puck,Puck,<hc>Puck</hc> can limit the mobility of enemies with <ac>Dream Coil</ac> which forces them to stay and fight or leave and be stunned.
npc_dota_hero_puck,Puck,<hc>Puck</hc> is very mobile. He can easily cross terrain quickly as well as chase and catch retreating enemies.
npc_dota_hero_puck,Puck,"In the late game, <hc>Puck</hc> has talents that can make him dangerous with either rapid spellcasting and damage, or blazing fast gold income."
npc_dota_hero_pudge,Pudge,Escaping <hc>Pudge</hc> once he catches you is difficult due to his <ac>Rot</ac> and <ac>Dismember</ac> abilities.
npc_dota_hero_pudge,Pudge,<hc>Pudge</hc>'s ability <ac>Meat Hook</ac> damages and drags the first unit it hits back to <hc>Pudge</hc>'s location.
npc_dota_hero_pudge,Pudge,<hc>Pudge</hc>'s threat of <ac>Meat Hook</ac> can be a strong deterrent to enemies trying to take an objective.
npc_dota_hero_pudge,Pudge,<hc>Pudge</hc> can save allies from difficult situations by hooking them back to his position.
npc_dota_hero_razor,Razor,"<hc>Razor</hc> has difficulty catching up when behind, so killing him a few times early in the game can keep him on the back foot."
npc_dota_hero_razor,Razor,Move speed or mobility items like <ic>Force Staff</ic> can help you escape a <hc>Razor</hc>'s <ac>Static Link</ac>.
npc_dota_hero_razor,Razor,"<hc>Razor</hc> is best known for his ability <ac>Static Link</ac> which steals enemy damage, giving him an advantage in lane and fights."
npc_dota_hero_razor,Razor,"An <ic>Aghanim's Scepter</ic> can boost <hc>Razor</hc>'s ultimate, <ac>Eye of the Storm</ac>, to do massive damage to heroes and towers."
npc_dota_hero_sand_king,Sand King,<hc>Sand King</hc> can kill multiple creeps quickly with his large number of area of effect skills.
npc_dota_hero_sand_king,Sand King,<hc>Sand King</hc> is good at weaving in and out of fights. It allows him to make an impact without threat of dying.
npc_dota_hero_sand_king,Sand King,<hc>Sand King</hc> is a strong initiator because he can combo <ic>Blink Dagger</ic> and <ac>Burrowstrike</ac> to stun grouped heroes.
npc_dota_hero_sand_king,Sand King,<hc>Sand King</hc> can be strong against melee heroes in the laning phase thanks to his <ac>Caustic Finale</ac> ability.
npc_dota_hero_storm_spirit,Storm Spirit,<hc>Storm Spirit</hc> is very dependent on having sufficient mana.  Efficient use of skills is very important.
npc_dota_hero_storm_spirit,Storm Spirit,"For <hc>Storm Spirit</hc> to maximize damage from <ac>Overload</ac>, he has to attack between every skill use."
npc_dota_hero_storm_spirit,Storm Spirit,"Because <hc>Storm Spirit</hc> is difficult to kill without disables, he can be a strong pick late in the draft."
npc_dota_hero_storm_spirit,Storm Spirit,"Due to his high mobility, <hc>Storm Spirit</hc> can pick off lone enemies around the map from long distances."
npc_dota_hero_sven,Sven,<hc>Sven</hc>'s <ac>Great Cleave</ac> allows him to kill creeps faster than most heroes.
npc_dota_hero_sven,Sven,<hc>Sven</hc> is good against physical damage enemies as <ac>Warcry</ac> can massively buff his team's armor. 
npc_dota_hero_sven,Sven,"While <hc>Sven</hc> does large amounts of damage to enemies, he struggles to approach and stay close to them."
npc_dota_hero_sven,Sven,<hc>Sven</hc>'s <ac>God's Strength</ac> amplifies his already high damage and can allow him to kill an enemy in a few hits.
npc_dota_hero_sven,Sven,<hc>Sven</hc> players often pick up a <ic>Blink Dagger</ic> to help ensure he can be properly positioned when a fight breaks out.
npc_dota_hero_tiny,Tiny,<hc>Tiny</hc>'s skills can combo his skills to instantly kill a nearby hero who has low health.
npc_dota_hero_tiny,Tiny,<hc>Tiny</hc> can use his <ac>Tree Grab</ac> ability to pick up a tree to give him extra attack range and more damage to buildings .
npc_dota_hero_tiny,Tiny,<hc>Tiny</hc> can use his <ac>Toss</ac> ability to throw an initiating ally into a fight or toss back an enemy to his team.
npc_dota_hero_tiny,Tiny,"<hc>Tiny</hc> benefits from allies who provide large attack speed bonuses, as his base attack speed is quite low."
npc_dota_hero_vengefulspirit,Vengeful Spirit,<hc>Vengeful Spirit</hc>'s <ac>Wave of Terror</ac> can be used to give vision further ahead than normal or over tree cover.
npc_dota_hero_vengefulspirit,Vengeful Spirit,<hc>Vengeful Spirit</hc>'s <ac>Nether Swap</ac> is often used to trade save a more valuable ally at the expense of her own death.
npc_dota_hero_vengefulspirit,Vengeful Spirit,<hc>Vengeful Spirit</hc>'s ultimate <ac>Nether Swap</ac> is very effective against enemies that can focus and disable a single hero.
npc_dota_hero_vengefulspirit,Vengeful Spirit,"When <hc>Vengeful Spirit</hc> buys <ic>Aghanim's Scepter</ic>, she gets a greatly reduced cooldown on her <ac>Nether Swap</ac> ability and an illusion on death. "
npc_dota_hero_windrunner,Windranger,<hc>Windranger</hc> often purchases <ic>Blink Dagger</ic> in order to position herself for the perfect angle for <ac>Shackleshot</ac> to latch.
npc_dota_hero_windrunner,Windranger,<hc>Windranger</hc>'s <ac>Windrun</ac> ability helps her to escape or avoid physical attacks.
npc_dota_hero_windrunner,Windranger,<hc>Windranger</hc>'s <ac>Powershot</ac> allows her to safely push creep waves while farming or snipe heroes from long distance.
npc_dota_hero_windrunner,Windranger,<hc>Windranger</hc>'s <ac>Focus Fire</ac> ability can help her run down and finish off opponents or destroy towers faster.
npc_dota_hero_zuus,Zeus,<hc>Zeus</hc> deals huge amounts of magic burst damage but has issues defending himself if attacked.
npc_dota_hero_zuus,Zeus,<hc>Zeus</hc> can use his <ac>Lightning Bolt</ac> to check for invisible heroes or find observer wards that give the enemy vision.
npc_dota_hero_zuus,Zeus,<hc>Zeus</hc>' global ultimate <ac>Thundergod's Wrath</ac> helps finish off low health enemy heroes or locate them on the map with a zap.
npc_dota_hero_zuus,Zeus,<hc>Zeus</hc>' abilities are limited to magical damage which makes magic resistance and magic immunity valuable.
npc_dota_hero_kunkka,Kunkka,<hc>Kunkka</hc> is great at setting up spell combinations with allies with his <ac>X Marks the Spot</ac> and <ac>Torrent</ac> abilities.
npc_dota_hero_kunkka,Kunkka,<hc>Kunkka</hc> is very strong in team fights because he can deal heavy area damage and make it hard for opponents to escape.
npc_dota_hero_kunkka,Kunkka,<hc>Kunkka</hc>'s ultimate <ac>Ghostship</ac> allows nearby allies to delay damage taken allowing them to get crucial spells off before potentially dying.
npc_dota_hero_kunkka,Kunkka,<hc>Kunkka</hc>'s abilities are delayed skill shots so landing abilities in combination often requires perfect timing.
npc_dota_hero_kunkka,Kunkka,"In the late game, <hc>Kunkka</hc>'s ability <ac>Tidebringer</ac> can do massive cleave damage with the right items."
npc_dota_hero_lina,Lina,"<hc>Lina</hc> can kill creep waves very rapidly with her low cooldown, area of effect abilities."
npc_dota_hero_lina,Lina,<hc>Lina</hc>'s <ac>Fiery Soul</ac> passive lets her deal large amounts of physical damage as long as she keeps casting spells.
npc_dota_hero_lina,Lina,"<hc>Lina</hc>'s stun, <ac>Light Strike Array</ac>, is a delayed skill shot that does minimal damage but can be used to setup kills."
npc_dota_hero_lina,Lina,<hc>Lina</hc> is known for her many magic damage spells that can rapidly burst down an enemy hero's health.
npc_dota_hero_lich,Lich,"<hc>Lich</hc> is best known for his <ac>Chain Frost</ac> ability that bounces between nearby enemies, doing massive damage each bounce."
npc_dota_hero_lich,Lich,"<hc>Lich</hc> is very strong in the laning stage because of his ability to <ac>Sacrifice</ac> an allied creep, denying the enemy its experience and gold."
npc_dota_hero_lich,Lich,<hc>Lich</hc> doesn't have any disables other than slows and has trouble catching evasive or fast heroes.
npc_dota_hero_lich,Lich,<hc>Lich</hc>'s <ac>Ice Armor</ac> can be used on buildings to slow down enemies trying to siege it.
npc_dota_hero_lion,Lion,<hc>Lion</hc> has a mix of disables that he can chain together to help his allies kill an enemy hero without fear of a response.
npc_dota_hero_lion,Lion,"<hc>Lion</hc>, with an early enough <ic>Blink Dagger</ic>, can initiate surprise ganks on enemy heroes."
npc_dota_hero_lion,Lion,<hc>Lion</hc> is best used against heroes who rely on their abilities to stay alive.
npc_dota_hero_lion,Lion,<hc>Lion</hc> has very good burst magical damage when he is able to use his <ac>Finger of Death</ac> ultimate.
npc_dota_hero_shadow_shaman,Shadow Shaman,<hc>Shadow Shaman</hc> has an incredible amount of disable with his <ac>Shackles</ac> ability but using it makes him vulnerable due to it being a channeled ability.
npc_dota_hero_shadow_shaman,Shadow Shaman,<hc>Shadow Shaman</hc> is great at pushing because he kills creeps rapidly and can drop his <ac>Mass Serpent Wards</ac> near towers.
npc_dota_hero_shadow_shaman,Shadow Shaman,<hc>Shadow Shaman</hc> often purchases <ic>Blink Dagger</ic> so that he can rapidly close distances and use his short range stuns.
npc_dota_hero_shadow_shaman,Shadow Shaman,<hc>Shadow Shaman</hc> has high base damage with his basic attack which allows him to punish cores in the laning phase.
npc_dota_hero_slardar,Slardar,<hc>Slardar</hc> allows his team to quickly kill Roshan by lowering his armor with <ac>Corrosive Haze</ac>.
npc_dota_hero_slardar,Slardar,<hc>Slardar</hc> gains an insane amount of move speed in the river with maximum level <ac>Guardian Sprint</ac>.
npc_dota_hero_slardar,Slardar,"<hc>Slardar</hc>'s ultimate <ac>Corrosive Haze</ac> heavily reduces the armor of a target, increasing the physical damage they take."
npc_dota_hero_slardar,Slardar,<hc>Slardar</hc> can use a <ic>Blink Dagger</ic> and his <ac>Slithereen Crush</ac> to disable multiple enemies during a fight.
npc_dota_hero_tidehunter,Tidehunter,"<hc>Tidehunter</hc> is very hard to kill in the laning stage, making him a good fit for the dangerous offlane."
npc_dota_hero_tidehunter,Tidehunter,<hc>Tidehunter</hc> can be very strong against physical damage heroes since <ac>Anchor Smash</ac> reduces the damage they do.
npc_dota_hero_tidehunter,Tidehunter,"<hc>Tidehunter</hc> can rarely be disabled for more than a few seconds, thanks to <ac>Kraken Shell</ac>."
npc_dota_hero_tidehunter,Tidehunter,<hc>Tidehunter</hc>'s threat of <ac>Ravage</ac> can sometimes be stronger than Ravage itself.
npc_dota_hero_witch_doctor,Witch Doctor,"<hc>Witch Doctor</hc> is good at keeping allies alive in pushes and fights because of his AOE healing ability, <ac>Voodoo Restoration</ac>."
npc_dota_hero_witch_doctor,Witch Doctor,"<hc>Witch Doctor</hc> can deal a huge amount of damage to enemies with his <ac>Death Ward</ac>.  However, it can be interrupted early by disables."
npc_dota_hero_witch_doctor,Witch Doctor,<hc>Witch Doctor</hc> is strong against durable enemies as he can increase his team's damage on heroes cursed by <ac>Maledict</ac>.
npc_dota_hero_witch_doctor,Witch Doctor,"<hc>Witch Doctor</hc> works best against clumped heroes since <ac>Paralyzing Cask</ac> bounces between enemies multiple times, stunning them."
npc_dota_hero_riki,Riki,"<hc>Riki</hc> is one of the few heroes who can be invisible from the start of the game, making his ganks hard to predict."
npc_dota_hero_riki,Riki,<hc>Riki</hc> is very effective against heroes who fear being restricted from using there abilities from the silence from his <ac>Smoke Screen</ac>.
npc_dota_hero_riki,Riki,"<hc>Riki</hc> is invisible from the start of the game, but good uses of Sentries or <ic>Dust of Appearance</ic> can help to neutralize him."
npc_dota_hero_riki,Riki,"<hc>Riki</hc> benefits heavily from agility items as they amplify his primary damage source, <ac>Cloak and Dagger</ac>."
npc_dota_hero_enigma,Enigma,<hc>Enigma</hc>'s Black Hole is one of the strongest ultimates in the game because it can disable an entire enemy team.
npc_dota_hero_enigma,Enigma,<hc>Enigma</hc> is best countered by heroes that have ways to interrupt his channeled ultimate from long range.
npc_dota_hero_enigma,Enigma,"Because his ultimate is so important, <hc>Enigma</hc> often purchases <ic>Blink Dagger</ic> to initiate and <ic>Black King Bar</ic> to ensure the full channel duration."
npc_dota_hero_enigma,Enigma,<hc>Enigma</hc> is strong at pushing towers and killing creeps with his <ac>Demonic Conversion</ac> eidolons.
npc_dota_hero_tinker,Tinker,<hc>Tinker</hc> can use <ac>Rearm</ac> to remove the cooldown on his abilities and items which allows him to move rapidly and nuke creeps and heroes.
npc_dota_hero_tinker,Tinker,"<hc>Tinker</hc>'s most important item is <ic>Boots of Travel</ic> because, with <ac>Rearm</ac>, it allows him to teleport around the map whenever needed."
npc_dota_hero_tinker,Tinker,"<hc>Tinker</hc> can be very effective against physical damage heroes as he can blind them with <ac>Laser</ac>, making them miss their target."
npc_dota_hero_tinker,Tinker,<hc>Tinker</hc> can be terrifying to play against late game because he can rapidly <ac>Rearm</ac> his items and kill weak heroes.
npc_dota_hero_tinker,Tinker,<hc>Tinker</hc> provides a strong high ground defense by using multiple <ac>March of the Machines</ac> to damage heroes who are sieging.
npc_dota_hero_sniper,Sniper,<hc>Sniper</hc> can use his long range to shoot enemies from a safe position.
npc_dota_hero_sniper,Sniper,"<hc>Sniper</hc>'s <ac>Assassinate</ac> can be used to interrupt channeled abilities, even through spell immunity."
npc_dota_hero_sniper,Sniper,<hc>Sniper</hc> is vulnerable to enemies that can rapidly close the gap that his range provides.
npc_dota_hero_sniper,Sniper,<hc>Sniper</hc> benefits from items like <ic>Shadow Blade</ic> or <ic>Hurricane Pike</ic> which can allow him to escape from trouble.
npc_dota_hero_necrolyte,Necrophos,<hc>Necrophos</hc> uses his <ac>Reaper's Scythe</ac> to guarantee kills on enemies with low health.
npc_dota_hero_necrolyte,Necrophos,<hc>Necrophos</hc> can heal nearby allies while hurting enemies which helps turn fights in his favor.
npc_dota_hero_necrolyte,Necrophos,<hc>Necrophos</hc> can use his ability <ac>Ghost Shroud</ac> to prevent incoming physical damage while amplifying his healing abilities.
npc_dota_hero_necrolyte,Necrophos,<hc>Necrophos</hc> constantly damages nearby enemy heroes with <ac>Heartstopper Aura</ac> which can add up to significant damage over a long engagement.
npc_dota_hero_warlock,Warlock,<hc>Warlock</hc>'s ultimate <ac>Chaotic Offering</ac> is a great way to disrupt an enemy team during a fight.
npc_dota_hero_warlock,Warlock,"<hc>Warlock</hc>'s ultimate stuns enemies even if they are Spell Immune, so it can be useful to stop teleports or important teamfight ultimates."
npc_dota_hero_warlock,Warlock,<hc>Warlock</hc> is strong in the early game because of his <ac>Shadow Word</ac> ability which can do significant damage over time to enemies or can heal allies.
npc_dota_hero_warlock,Warlock,<hc>Warlock</hc> has amazing team fight abilities but has difficulty defending himself against chasing enemies.
npc_dota_hero_beastmaster,Beastmaster,<hc>Beastmaster</hc> is a very fast pusher as he can rapidly kill creeps and towers with assistance from his <ac>Inner Beast</ac> aura.
npc_dota_hero_beastmaster,Beastmaster,"<hc>Beastmaster</hc>'s ultimate <ac>Primal Roar</ac> is good for setting up kills since it stuns enemies, even if they are spell immune."
npc_dota_hero_beastmaster,Beastmaster,<hc>Beastmaster</hc> often purchases a <ic>Necronomicon</ic> to summon additional units to help him kill enemies and siege buildings.
npc_dota_hero_beastmaster,Beastmaster,<hc>Beastmaster</hc> summons animal friends to help him in various ways such as providing vision and slowing enemies.
npc_dota_hero_queenofpain,Queen of Pain,"<hc>Queen of Pain</hc> is capable of doing large bursts of area of effect, magical damage."
npc_dota_hero_queenofpain,Queen of Pain,<hc>Queen of Pain</hc> is extremely mobile and hard to catch due to her low cooldown <ac>Blink</ac> ability.
npc_dota_hero_queenofpain,Queen of Pain,<hc>Queen of Pain</hc> is often picked because she's strong at laning and can either punish vulnerable enemies or score kills.
npc_dota_hero_queenofpain,Queen of Pain,"While <hc>Queen of Pain</hc> does a lot of damage, she lacks disables and needs to make up for it with items."
npc_dota_hero_venomancer,Venomancer,<hc>Venomancer</hc>'s abilities do damage over time rather than all at once.
npc_dota_hero_venomancer,Venomancer,<hc>Venomancer</hc> is often used for pushing and defending towers relatively safely with his <ac>Plague Ward</ac>s.
npc_dota_hero_venomancer,Venomancer,<hc>Venomancer</hc> lacks any form of disable other than slows.
npc_dota_hero_venomancer,Venomancer,<hc>Venomancer</hc>'s plague wards do far more damage to creeps than heroes and towers.
npc_dota_hero_faceless_void,Faceless Void,"<hc>Faceless Void</hc>'s ultimate <ac>Chronosphere</ac> stuns all units in a large bubble, including allies."
npc_dota_hero_faceless_void,Faceless Void,<hc>Faceless Void</hc> can <ac>Time Walk</ac> his health points back to where they were a short time ago.
npc_dota_hero_faceless_void,Faceless Void,<hc>Faceless Void</hc> is most often used for his teamfight prowess. He waits for the perfect moment to jump in and initiate.
npc_dota_hero_faceless_void,Faceless Void,"<hc>Faceless Void</hc> often relies on items that remove disables like silences and stuns, so he can always be able to use his strong abilities."
npc_dota_hero_skeleton_king,Wraith King,<hc>Wraith King</hc>'s ultimate <ac>Reincarnation</ac> allows him to resurrect once in a fight so long as he has the mana.
npc_dota_hero_skeleton_king,Wraith King,<hc>Wraith King</hc> does a huge amount of damage with his sword but often has trouble staying close to enemies.
npc_dota_hero_skeleton_king,Wraith King,"<hc>Wraith King</hc>'s stun <ac>Wraithfire Blast</ac> stuns and slows enemies, helping him secure kills."
npc_dota_hero_skeleton_king,Wraith King,<hc>Wraith King</hc> often purchases <ic>Armlet of Mordiggian</ic> which gives him increased damage in exchange for a health drain.
npc_dota_hero_death_prophet,Death Prophet,<hc>Death Prophet</hc> is a strong tower pusher because her ultimate <ac>Exorcism</ac> can deal damage to towers as well as enemies.
npc_dota_hero_death_prophet,Death Prophet,<hc>Death Prophet</hc> can be difficult to kill because she can use <ac>Spirit Siphon</ac> to stay alive when enemies try to focus her.
npc_dota_hero_death_prophet,Death Prophet,"<hc>Death Prophet</hc>'s abilities deal massive damage to nearby enemies, making survivability items her priority."
npc_dota_hero_death_prophet,Death Prophet,"<hc>Death Prophet</hc> is limited by the long cooldown of her ultimate, <ac>Exorcism</ac>. Using it wisely is important."
npc_dota_hero_phantom_assassin,Phantom Assassin,<hc>Phantom Assassin</hc> can do large amounts of physical damage in a short time with damage items and her critical strikes.
npc_dota_hero_phantom_assassin,Phantom Assassin,<hc>Phantom Assassin</hc> is difficult to attack because of her built in evasion with <ac>Blur</ac>.
npc_dota_hero_phantom_assassin,Phantom Assassin,<hc>Phantom Assassin</hc> is weak to stuns and magic damage abilities.
npc_dota_hero_phantom_assassin,Phantom Assassin,<hc>Phantom Assassin</hc> can use <ac>Blink Strike</ac> to easily jump to opponents which makes escaping her difficult.
npc_dota_hero_phantom_assassin,Phantom Assassin,<hc>Phantom Assassin</hc> can use <ac>Blink Strike</ac> to jump safely away from danger to allies.
npc_dota_hero_pugna,Pugna,<hc>Pugna</hc> deals almost entirely magic damage and can amplify it by casting <ac>Decrepify</ac> first.
npc_dota_hero_pugna,Pugna,"<hc>Pugna</hc> has weak disables and low health, but has strong teamfight and high magic damage to compensate."
npc_dota_hero_pugna,Pugna,"<hc>Pugna</hc>'s primary nuke <ac>Nether Blast</ac> is a rare spell that can damage buildings, making <hc>Pugna</hc> a fantastic tower pusher."
npc_dota_hero_pugna,Pugna,<hc>Pugna</hc> is strongest in the early and mid game as enemies can purchase items that counter <hc>Pugna</hc> later.
npc_dota_hero_templar_assassin,Templar Assassin,"<hc>Templar Assassin</hc> deals heavy physical damage, amplified by her negative armor ability, <ac>Meld</ac>."
npc_dota_hero_templar_assassin,Templar Assassin,<hc>Templar Assassin</hc> can kill the mighty Roshan by herself once she purchases a <ic>Desolator</ic>.
npc_dota_hero_templar_assassin,Templar Assassin,<hc>Templar Assassin</hc> is difficult to kill because of her <ac>Refraction</ac> ability unless the enemy team has damage over time abilities.
npc_dota_hero_templar_assassin,Templar Assassin,<hc>Templar Assassin</hc> can kill creep waves and neutral camps quickly with her line cleaving <ac>Psi Blades</ac>.
npc_dota_hero_templar_assassin,Templar Assassin,<hc>Templar Assassin</hc> benefits heavily from stacked neutral camps in the midgame because she can farm them quickly and easily.
npc_dota_hero_viper,Viper,<hc>Viper</hc> is able to heavily slow enemy heroes in fights and do increasing damage as they get closer to death.
npc_dota_hero_viper,Viper,<hc>Viper</hc> is known for his prowess in the mid lane where he can bully out weaker heroes.
npc_dota_hero_viper,Viper,<hc>Viper</hc> is very difficult to kill because of his high health points and <ac>Corrosive Skin</ac> ability.
npc_dota_hero_viper,Viper,<hc>Viper</hc> prefers to be on the front line of the fight taking damage as it allows his allies to respond unthreatened.
npc_dota_hero_luna,Luna,"<hc>Luna</hc> has incredible teamfight with her ultimate, <ac>Eclipse</ac>, which strikes random nearby heroes with <ac>Lucent Beam</ac>s."
npc_dota_hero_luna,Luna,<hc>Luna</hc> can see farther than most heroes during night because of her <ac>Lunar Blessing</ac> aura.
npc_dota_hero_luna,Luna,<hc>Luna</hc> can push waves and farm neutrals rapidly with her <ac>Moon Glaives</ac> which cause her attacks to bounce between enemies.
